model,layer,layer_idx,tile,orig_m,orig_n,orig_k,m,n,k,config,sa_size,sparsity,orig_macs,eff_macs,mac_reduction,cycles,cpu_us,match,npu_us
alexnet,__module.features.6/aten::_convolution/Convolution,2,55,32,32,32,22,20,9,0,32,0.8154,65536,7920,0.8792,49,198.7,TRUE,0.7
alexnet,__module.features.6/aten::_convolution/Convolution,2,56,32,32,32,22,21,9,0,32,0.811,65536,8316,0.8731,50,39.6,TRUE,0.714285714
alexnet,__module.features.6/aten::_convolution/Convolution,2,57,32,32,32,22,17,9,0,32,0.8286,65536,6732,0.8973,46,49.6,TRUE,0.657142857
alexnet,__module.features.6/aten::_convolution/Convolution,2,58,32,32,32,22,19,9,0,32,0.8198,65536,7524,0.8852,48,45.3,TRUE,0.685714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,59,32,32,32,22,20,9,0,32,0.8154,65536,7920,0.8792,49,38.4,TRUE,0.7
alexnet,__module.features.6/aten::_convolution/Convolution,2,60,32,32,32,22,13,9,0,32,0.8462,65536,5148,0.9214,42,54.5,TRUE,0.6
alexnet,__module.features.6/aten::_convolution/Convolution,2,61,9,32,32,9,16,3,1,16,0.9428,18432,864,0.9531,26,18.7,TRUE,0.371428571
alexnet,__module.features.6/aten::_convolution/Convolution,2,62,9,32,32,9,17,3,0,32,0.9405,18432,918,0.9502,27,19.7,TRUE,0.385714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,63,9,32,32,9,17,3,0,32,0.9405,18432,918,0.9502,27,63.4,TRUE,0.385714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,64,9,32,32,9,15,3,1,16,0.9451,18432,810,0.9561,25,19.9,TRUE,0.357142857
alexnet,__module.features.6/aten::_convolution/Convolution,2,65,9,32,32,9,18,3,0,32,0.9383,18432,972,0.9473,28,20.3,TRUE,0.4
alexnet,__module.features.6/aten::_convolution/Convolution,2,66,9,32,32,9,18,3,0,32,0.9383,18432,972,0.9473,28,19.9,TRUE,0.4
alexnet,__module.features.6/aten::_convolution/Convolution,2,67,9,32,32,9,20,3,0,32,0.9337,18432,1080,0.9414,30,70.1,TRUE,0.428571429
alexnet,__module.features.6/aten::_convolution/Convolution,2,68,9,32,32,9,21,3,0,32,0.9314,18432,1134,0.9385,31,23.7,TRUE,0.442857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,69,9,32,32,9,17,3,0,32,0.9405,18432,918,0.9502,27,21.4,TRUE,0.385714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,70,9,32,32,9,19,3,0,32,0.936,18432,1026,0.9443,29,46,TRUE,0.414285714
alexnet,__module.features.6/aten::_convolution/Convolution,2,71,9,32,32,9,20,3,0,32,0.9337,18432,1080,0.9414,30,44.7,TRUE,0.428571429
alexnet,__module.features.6/aten::_convolution/Convolution,2,72,9,32,32,9,13,3,1,16,0.9497,18432,702,0.9619,23,36,TRUE,0.328571429
alexnet,__module.features.3/aten::_convolution/Convolution,3,1,32,32,32,23,18,19,0,32,0.6196,65536,15732,0.7599,58,50.5,TRUE,0.828571429
alexnet,__module.features.3/aten::_convolution/Convolution,3,2,32,32,32,23,18,19,0,32,0.6196,65536,15732,0.7599,58,57.6,TRUE,0.828571429
alexnet,__module.features.3/aten::_convolution/Convolution,3,3,32,32,32,23,22,19,0,32,0.5825,65536,19228,0.7066,62,55.9,TRUE,0.885714286
alexnet,__module.features.3/aten::_convolution/Convolution,3,4,32,32,32,23,13,19,0,32,0.666,65536,11362,0.8266,53,40.8,TRUE,0.757142857
alexnet,__module.features.3/aten::_convolution/Convolution,3,5,32,32,32,23,18,19,0,32,0.6196,65536,15732,0.7599,58,88.4,TRUE,0.828571429
alexnet,__module.features.3/aten::_convolution/Convolution,3,6,32,32,32,23,17,19,0,32,0.6289,65536,14858,0.7733,57,180,TRUE,0.814285714
